Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,R.J. Barrett,30,30,1037,259,560,.463,201,374,.537,58,186,.312,122,185,.659,44,177,221,126,24,13,91,54,698
2,Zion Williamson,26,26,732,218,319,.683,204,271,.753,14,48,.292,111,166,.669,90,139,229,57,57,48,61,51,561
3,Cam Reddish,29,29,847,131,362,.362,55,136,.404,76,226,.336,67,88,.761,17,91,108,61,50,14,79,71,405
4,Tre Jones,28,28,921,95,231,.411,78,164,.476,17,67,.254,36,48,.750,27,79,106,146,58,5,39,41,243
5,Marques Bolden,30,20,598,64,106,.604,64,99,.646,0,7,.000,51,71,.718,65,80,145,14,18,55,25,65,179
6,Alex O'Connell,29,4,424,49,103,.476,21,34,.618,28,69,.406,19,25,.760,15,41,56,18,19,0,24,16,145
7,Jack White,29,3,654,46,121,.380,19,30,.633,27,91,.297,21,25,.840,41,111,152,25,21,34,21,57,140
8,Javin DeLaurier,30,9,440,42,55,.764,42,54,.778,0,1,.000,23,40,.575,48,64,112,13,25,32,26,76,107
9,Antonio Vrankovic,15,1,74,6,12,.500,6,12,.500,0,0,,9,16,.563,14,7,21,4,2,4,3,14,21
10,Justin Robinson,16,0,54,8,13,.615,4,4,1.000,4,9,.444,0,1,.000,2,5,7,1,2,4,2,5,20
11,Jordan Goldwire,27,0,207,6,34,.176,5,14,.357,1,20,.050,2,5,.400,3,18,21,17,13,0,11,22,15
12,Brennan Besser,4,0,12,1,6,.167,1,2,.500,0,4,.000,2,2,1.000,2,1,3,1,0,0,1,1,4
13,Joey Baker,3,0,11,0,2,.000,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,1,4,0
14,Mike Buckmire,4,0,13,0,2,.000,0,2,.000,0,0,,0,0,,2,2,4,1,0,0,1,0,0
